id,name,name_with_type
11,Hà Nội,Thành phố Hà Nội
12,Hồ Chí Minh,Thành phố Hồ Chí Minh
13,Đà Nẵng,Thành phố Đà Nẵng
14,Hải Phòng,Thành phố Hải Phòng
15,Cần Thơ,Thành phố Cần Thơ
16,Huế,Thành phố Huế
17,An Giang,Tỉnh An Giang
18,Bắc Ninh,Tỉnh Bắc Ninh
19,Cà Mau,Tỉnh Cà Mau
20,Cao Bằng,Tỉnh Cao Bằng
21,Đắk Lắk,Tỉnh Đắk Lắk
22,Điện Biên,Tỉnh Điện Biên
23,Đồng Nai,Tỉnh Đồng Nai
24,Đồng Tháp,Tỉnh Đồng Tháp
25,Gia Lai,Tỉnh Gia Lai
26,Hà Tĩnh,Tỉnh Hà Tĩnh
27,Hưng Yên,Tỉnh Hưng Yên
28,Khánh Hòa,Tỉnh Khánh Hòa
29,Lai Châu,Tỉnh Lai Châu
30,Lâm Đồng,Tỉnh Lâm Đồng
31,Lạng Sơn,Tỉnh Lạng Sơn
32,Lào Cai,Tỉnh Lào Cai
33,Nghệ An,Tỉnh Nghệ An
34,Ninh Bình,Tỉnh Ninh Bình
35,Phú Thọ,Tỉnh Phú Thọ
36,Quảng Ngãi,Tỉnh Quảng Ngãi
37,Quảng Ninh,Tỉnh Quảng Ninh
38,Quảng Trị,Tỉnh Quảng Trị
39,Sơn La,Tỉnh Sơn La
40,Tây Ninh,Tỉnh Tây Ninh
41,Thái Nguyên,Tỉnh Thái Nguyên
42,Thanh Hóa,Tỉnh Thanh Hóa
43,Tuyên Quang,Tỉnh Tuyên Quang
44,Vĩnh Long,Tỉnh Vĩnh Long